Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.433317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 80 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.434317 , CPU Power: 90.112000 W , Interval: 1000 us ,Call: 81 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.435317 , CPU Power: 49.201202 W , Interval: 999 us ,Call: 82 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.436317 , CPU Power: 106.496002 W , Interval: 1000 us ,Call: 83 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.437318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 84 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.438317 , CPU Power: 49.201202 W , Interval: 999 us ,Call: 85 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.439317 , CPU Power: 90.202202 W , Interval: 999 us ,Call: 86 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.433341 , GPU Power: 60.300003 W , Interval: 10000 us ,Call: 8 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.440317 , CPU Power: 90.112000 W , Interval: 1000 us ,Call: 87 , 
